City,Date,Month,Predicted_Max_Temp_C,Predicted_Total_Rain_mm
Ahmedabad,2025-01-01,January,27.87,0.51
Ahmedabad,2025-02-01,February,31.42,0.24
Ahmedabad,2025-03-01,March,35.11,1.09
Ahmedabad,2025-04-01,April,38.87,1.4
Ahmedabad,2025-05-01,May,41.97,0.83
Ahmedabad,2025-06-01,June,38.92,193.42
Ahmedabad,2025-07-01,July,31.97,350.59
Ahmedabad,2025-08-01,August,30.68,104.49
Ahmedabad,2025-09-01,September,31.58,93.46
Ahmedabad,2025-10-01,October,33.15,0.5
Ahmedabad,2025-11-01,November,32.41,0.67
Ahmedabad,2025-12-01,December,28.56,3.26
Bangalore,2025-01-01,January,27.54,1.88
Bangalore,2025-02-01,February,29.74,3.17
Bangalore,2025-03-01,March,32.02,27.73
Bangalore,2025-04-01,April,33.33,50.02
Bangalore,2025-05-01,May,30.83,84.38
Bangalore,2025-06-01,June,28.81,96.66
Bangalore,2025-07-01,July,26.98,111.29
Bangalore,2025-08-01,August,27.74,133.03
Bangalore,2025-09-01,September,27.51,104.53
Bangalore,2025-10-01,October,27.59,144.62
Bangalore,2025-11-01,November,26.7,82.41
Bangalore,2025-12-01,December,26.55,22.37
Chennai,2025-01-01,January,28.22,9.44
Chennai,2025-02-01,February,29.78,2.55
Chennai,2025-03-01,March,31.96,4.97
Chennai,2025-04-01,April,33.86,20.22
Chennai,2025-05-01,May,35.48,113.51
Chennai,2025-06-01,June,35.38,76.66
Chennai,2025-07-01,July,33.85,125.75
Chennai,2025-08-01,August,33.18,186.0
Chennai,2025-09-01,September,32.54,139.94
Chennai,2025-10-01,October,30.8,182.84
Chennai,2025-11-01,November,28.55,260.87
Chennai,2025-12-01,December,27.82,127.08
Delhi,2025-01-01,January,18.94,23.99
Delhi,2025-02-01,February,23.55,12.69
Delhi,2025-03-01,March,29.54,8.45
Delhi,2025-04-01,April,36.29,5.57
Delhi,2025-05-01,May,38.96,26.12
Delhi,2025-06-01,June,38.49,35.46
Delhi,2025-07-01,July,33.75,125.12
Delhi,2025-08-01,August,32.64,186.08
Delhi,2025-09-01,September,32.57,85.17
Delhi,2025-10-01,October,32.0,7.45
Delhi,2025-11-01,November,27.17,2.53
Delhi,2025-12-01,December,21.7,5.19
Hyderabad,2025-01-01,January,29.42,4.13
Hyderabad,2025-02-01,February,31.54,2.74
Hyderabad,2025-03-01,March,32.74,5.22
Hyderabad,2025-04-01,April,33.61,34.35
Hyderabad,2025-05-01,May,33.61,86.39
Hyderabad,2025-06-01,June,31.34,207.64
Hyderabad,2025-07-01,July,30.42,106.03
Hyderabad,2025-08-01,August,30.38,233.41
Hyderabad,2025-09-01,September,30.15,133.78
Hyderabad,2025-10-01,October,31.45,94.15
Hyderabad,2025-11-01,November,30.34,27.46
Hyderabad,2025-12-01,December,29.62,5.78
Jaipur,2025-01-01,January,20.52,5.07
Jaipur,2025-02-01,February,25.68,8.14
Jaipur,2025-03-01,March,31.15,5.06
Jaipur,2025-04-01,April,36.91,10.17
Jaipur,2025-05-01,May,39.23,9.17
Jaipur,2025-06-01,June,37.96,67.86
Jaipur,2025-07-01,July,33.18,241.72
Jaipur,2025-08-01,August,31.2,73.43
Jaipur,2025-09-01,September,32.05,50.08
Jaipur,2025-10-01,October,32.13,1.44
Jaipur,2025-11-01,November,27.46,1.44
Jaipur,2025-12-01,December,22.92,3.57
Kolkata,2025-01-01,January,25.11,1.78
Kolkata,2025-02-01,February,28.7,11.04
Kolkata,2025-03-01,March,32.5,48.05
Kolkata,2025-04-01,April,36.21,49.73
Kolkata,2025-05-01,May,34.31,120.74
Kolkata,2025-06-01,June,33.7,183.72
Kolkata,2025-07-01,July,31.71,339.97
Kolkata,2025-08-01,August,31.34,442.55
Kolkata,2025-09-01,September,31.16,359.74
Kolkata,2025-10-01,October,30.73,168.0
Kolkata,2025-11-01,November,29.16,26.79
Kolkata,2025-12-01,December,26.16,8.39
Lucknow,2025-01-01,January,20.86,10.15
Lucknow,2025-02-01,February,25.06,12.89
Lucknow,2025-03-01,March,31.35,11.06
Lucknow,2025-04-01,April,37.55,20.22
Lucknow,2025-05-01,May,38.64,28.64
Lucknow,2025-06-01,June,37.4,72.4
Lucknow,2025-07-01,July,32.71,311.49
Lucknow,2025-08-01,August,31.85,230.89
Lucknow,2025-09-01,September,31.64,125.79
Lucknow,2025-10-01,October,31.42,11.11
Lucknow,2025-11-01,November,27.75,1.15
Lucknow,2025-12-01,December,22.98,3.48
Mumbai,2025-01-01,January,29.99,0.53
Mumbai,2025-02-01,February,31.87,0.35
Mumbai,2025-03-01,March,32.03,0.48
Mumbai,2025-04-01,April,33.08,0.23
Mumbai,2025-05-01,May,32.8,5.51
Mumbai,2025-06-01,June,31.1,495.02
Mumbai,2025-07-01,July,28.87,817.03
Mumbai,2025-08-01,August,29.37,535.7
Mumbai,2025-09-01,September,29.34,422.98
Mumbai,2025-10-01,October,31.4,158.31
Mumbai,2025-11-01,November,32.53,11.76
Mumbai,2025-12-01,December,31.5,6.42
Pune,2025-01-01,January,26.59,2.36
Pune,2025-02-01,February,31.58,1.31
Pune,2025-03-01,March,35.31,4.13
Pune,2025-04-01,April,40.04,4.33
Pune,2025-05-01,May,35.77,14.47
Pune,2025-06-01,June,30.87,136.83
Pune,2025-07-01,July,28.49,272.47
Pune,2025-08-01,August,27.79,48.62
Pune,2025-09-01,September,28.74,186.11
Pune,2025-10-01,October,28.35,29.61
Pune,2025-11-01,November,28.16,33.19
Pune,2025-12-01,December,31.53,3.83
